,case_vignette,choice_1,choice_2,choice_3,choice_4,answer,category,dataset,case_id
1982,"A 69-year-old man presents to his primary care physician with hip and back pain. The patient states that this weekend he had a barbecue. When he was lifting a heavy object he suddenly felt pain in his lower back. He describes the pain as in his buttocks but states that at times it travels down his leg. The patient states that it feels, ""electrical."" The patient has a past medical history of obesity, diabetes, depression, anxiety, diverticulosis, constipation, and a surgical repair of his anterior cruciate ligament. His current medications include metformin, insulin, lisinopril, fluoxetine, and sodium docusate. Which of the following is most likely to help confirm the diagnosis?",Internal rotation of the extended hip,Straight leg raise,"Flexion, abduction, and external rotation of the thigh",Palpating the paraspinus muscle,Straight leg raise,Neurology,MedQA_USMLE,case_1982
1984,"A 30-year-old man presents to his primary care physician complaining of headaches. He states that over the past month he has been trying to study for an accounting exam, but he finds it increasingly more difficult to focus due to his headaches. He also complains of lower extremity muscle cramping. He has no significant past medical history and takes ibuprofen and acetaminophen as needed. The patient’s temperature is 98°F (36.7°C), blood pressure is 168/108 mmHg, and pulse is 75/min. Labs are obtained, as shown below:

Serum:
pH (VBG): 7.50
Na: 146 mEq/L
K+: 3.2 mEq/L
Cl-: 104 mEq/L
HCO3-: 32 mEq/L
Urea nitrogen: 20 mg/dL
Creatinine: 1.1 mg/dL
Glucose: 85 mg/dL

An ultrasound reveals a hypoechoic lesion within the right adrenal gland. A 2 cm right-sided homogeneous adrenal mass is confirmed with computed tomography. Which of the following findings is associated with the patient’s most likely diagnosis?",Elevated 17-hydroxyprogesterone,High adrenocorticotropic hormone,Low plasma renin,High plasma renin,Low plasma renin,Endocrinology,MedQA_USMLE,case_1984
1986,"A 25-year-old man presents to his primary care physician with a chief complaint of ""failing health."" He states that he typically can converse with animals via telepathy, but is having trouble right now due to the weather. He has begun taking an assortment of Peruvian herbs to little avail. Otherwise he is not currently taking any medications. The patient lives alone and works in a health food store. He states that his symptoms have persisted for the past eight months. On physical exam, you note a healthy young man who is dressed in an all burlap ensemble. When you are obtaining the patient's medical history there are several times he is attempting to telepathically connect with the animals in the vicinity. Which of the following is the most likely diagnosis?",Brief psychotic disorder,Schizotypal personality disorder,Schizoid personality disorder,Schizophrenia,Schizotypal personality disorder,Other,MedQA_USMLE,case_1986
1988,"A 25-year-old medical student returns from a volunteer mission trip in Nicaragua with persistent cough and occasional hemoptysis for 3 weeks. A purified protein derivative test revealing a 20 mm wheal and a chest radiograph with hilar lymphadenopathy support a diagnosis of active tuberculosis. The patient is started on appropriate therapy. Among the prescribed medications, one drug inhibits carbohydrate polymerization of the pathogen's cell wall. What is the most likely complaint that the patient may present with because of this drug?",Orange colored urine,Joint pain,Nausea and vomiting,Vision changes,Vision changes,Infectious Diseases,MedQA_USMLE,case_1988
1989,"A 70-year-old woman presents to an ophthalmology clinic for bilaterally blurred vision. Her symptoms have progressed gradually over several years, but she recently became concerned when she noticed that she could no longer read her newspaper without the help of a magnifying glass. She also mentions that her eyes have been “playing tricks on her,” pointing out that the edges of the examination table appear curved, when she knows they are usually straight. Physical exam is unremarkable. Fundoscopic exam (shown in Figure A) is similar in both eyes. Which of the following is the most likely diagnosis?",Atrophic macular degeneration,Exudative macular degeneration,Retinal vein occlusion,Open angle closure glaucoma,Atrophic macular degeneration,Other,MedQA_USMLE,case_1989
1991,"A 24-year-old woman presents to the emergency department with severe abdominal and lower back pain. She describes it as intense cramping and states that she experienced severe pain roughly 1 month ago that was similar. The patient's past medical history is non-contributory, and she states that her menses cause her to soak through 1 pad in a day. She is currently sexually active and does not use any contraception. Her vitals are within normal limits. The patient's abdominal exam is non-focal, and her pelvic exam reveals no adnexal masses or tenderness and no cervical motion tenderness. Which of the following is the most likely diagnosis?",Adenomyosis,Appendicitis,Ectopic pregnancy,Primary dysmenorrhea,Primary dysmenorrhea,Obstetrics and Gynecology,MedQA_USMLE,case_1991
1992,"A 45-year-old homeless man is brought to the emergency department after he was found unconscious at the park. The patient's past medical history is unknown; however, he was admitted to the emergency department 2 times over the past year for severe pain treated with hydromorphone and IV fluids. His temperature is 100°F (37.8°C), blood pressure is 97/48 mmHg, pulse is 140/min, respirations are 18/min, and oxygen saturation is 99% on room air. The patient smells of alcohol and is covered in emesis. Basic laboratory values are ordered as seen below.

Hemoglobin: 6 g/dL
Hematocrit: 20%
Leukocyte count: 6,500/mm^3 with normal differential
Platelet count: 197,000/mm^3
Reticulocyte count: 0.4%

Which of the following is associated with the most likely diagnosis?",Iron deficiency,Folate deficiency,Parvovirus B19 infection,Benign genetic carrier condition,Parvovirus B19 infection,Hematology and Oncology,MedQA_USMLE,case_1992
1993,"A 42-year-old man presents to his primary care physician complaining of subjective fever, cough, and night sweats. He states that over the past 2 months he has “not felt like myself.” He has lost 12 lbs over this time period. Two weeks ago, he started experiencing night sweats and cough. This morning he decided to take his temperature and reports it was “high.” He has a history of HIV and admits to inconsistently taking his anti-retrovirals. A chest radiograph reveals a cavitary lesion in the left upper lobe. An interferon-gamma release assay is positive, and the patient is started on appropriate antimicrobial therapy. A month later he is seen in clinic for follow-up. Lab work is obtained, as shown below:

Leukocyte count: 11,000/mm^3 with normal differential
Hemoglobin: 9.2 g/dL
Platelet count: 400,000/mm^3
Mean corpuscular volume (MCV): 75 µm^3

Based on these results, a peripheral smear is sent and shows Pappenheimer bodies. Which of the following is the most accurate test for the patient’s diagnosis?",Iron studies,Hemoglobin electrophoresis,Genetic testing,Prussian blue staining,Prussian blue staining,Hematology and Oncology,MedQA_USMLE,case_1993
1994,"A 42-year-old woman presents to her primary care physician for a checkup. She has been trying to get pregnant with her husband for the past 7 months but has been unsuccessful. The patient states that they have been having unprotected intercourse daily during this time frame. She states that she experiences her menses every 28 days. Her husband has 2 children from another marriage. Otherwise, the patient only complains of mild vaginal dryness during intercourse. The patient's past medical history is notable for seasonal allergies for which she takes loratadine and a chlamydial infection which was treated in college. On physical exam, you note a healthy woman. Cardiopulmonary, abdominal, and pelvic exam are within normal limits. Which of the following is the most likely diagnosis in this patient?",Premature ovarian failure,Menopause,Spermatogenesis defect,Decreased ovarian reserve,Decreased ovarian reserve,Obstetrics and Gynecology,MedQA_USMLE,case_1994
1996,A 28-year-old woman presents to the emergency department with lateral knee pain that started this morning. The patient is a college student who is currently on the basketball team. She states her pain started after she twisted her knee. Her current medications include albuterol and ibuprofen. The patient's vitals are within normal limits and physical exam is notable for tenderness to palpation over the lateral right knee. When the patient lays on her left side and her right hip is extended and abducted it does not lower to the table in a smooth fashion and adduction causes discomfort. The rest of her exam is within normal limits. Which of the following is the most likely diagnosis?,Pes anserine bursitis,Lateral collateral ligament injury,Musculoskeletal strain,Iliotibial band syndrome,Iliotibial band syndrome,Other,MedQA_USMLE,case_1996
1998,"A 23-year-old woman presents to her primary care physician for knee pain. The patient states it started yesterday and has been steadily worsening. She recently joined a volleyball team to try to get into shape as she was informed that weight loss would be beneficial for her at her last physical exam. She states that she has been repetitively pivoting and twisting on her knee while playing volleyball. The patient has a past medical history of polycystic ovarian syndrome and is currently taking oral contraceptive pills. Her temperature is 98.5°F (36.9°C), blood pressure is 137/88 mmHg, pulse is 90/min, respirations are 12/min, and oxygen saturation is 98% on room air. Physical exam reveals an obese woman with facial hair. Physical exam is notable for tenderness that is mediated with palpation over the medial aspect of the tibia just inferior to the patella. Her BMI is 37 kg/m^2. The rest of the exam of the lower extremity is not remarkable. Which of the following is the most likely diagnosis?",Pes anserine bursitis,Medial collateral ligament tear,Patellofemoral syndrome,Osteoarthritis,Pes anserine bursitis,Rheumatology,MedQA_USMLE,case_1998
1999,"A 12-month-old boy is brought in by his mother who is worried about pallor. She says that the patient has always been fair-skinned, but over the past month relatives have commented that he appears more pale. The mother says that the patient seems to tire easy, but plays well with his older brother and has even started to walk. She denies bloody or black stools, easy bruising, or excess bleeding. She states that he is a picky eater, but he loves crackers and whole milk. On physical examination, pallor of the conjunctiva is noted. There is a grade II systolic ejection murmur best heard over the lower left sternal border that increases when the patient is supine. Labs are drawn as shown below:

Leukocyte count: 6,500/mm^3 with normal differential
Hemoglobin: 6.4 g/dL
Platelet count: 300,000/mm^3
Mean corpuscular volume (MCV): 71 µm^3
Reticulocyte count: 2.0%

Serum iron: 34 mcg/dL
Serum ferritin: 6 ng/mL (normal range 7 to 140 ng/mL)
Total iron binding capacity (TIBC): 565 mcg/dL (normal range 240 to 450 mcg/dL)

On peripheral blood smear, there is microcytosis, hypochromia, and mild anisocytosis without basophilic stippling. Which of the following is the next best step in management for the patient’s diagnosis?",Limit milk intake,Measure lead level,Measure folate level,Administer deferoxamine,Limit milk intake,Hematology and Oncology,MedQA_USMLE,case_1999
2000,"A 59-year-old man presents to his ophthalmologist for an annual eye exam. The patient reports feeling well and has noticed some changes in his visual acuity. Medical history is significant for hypertension, type II diabetes, and ankylosing spondylitis. He is currently taking lisinopril, metformin, and naproxen. Family history is significant for glaucoma in his mother and father. His intraocular pressure is 17 mmHg in the left eye and 18 mmHg in the right eye. The patient undergoes a slit-lamp examination and the findings are shown in Figure A. Which of the following is the most likely diagnosis?",Nonarteritic anterior ischemic optic neuropathy,Central retinal vein occlusion,Hypertensive retinopathy,Diabetic retinopathy,Diabetic retinopathy,Other,MedQA_USMLE,case_2000
2001,"A 52-year-old man presents to the clinic with a headache and dizziness for the past month. The patient reports that about 4 weeks ago he developed a “nagging” headache. He thought he had a cold, so he tried over the counter ibuprofen that provided only mild and temporary relief. Recently, he also started feeling dizzy and nauseous, which only resolves when he steps outside to shovel the snow. The patient’s medical history is significant for hypertension, type II diabetes mellitus, and asthma. His medications include amlodipine, metformin, glimepiride, and a fluticasone/salmeterol inhaler. The patient has been living at his upstate cabin for the past 5 weeks but denies other recent travel. He denies smoking tobacco or illicit drug use. The patient’s temperature is 99°F (37.2°C), blood pressure is 130/78 mmHg, pulse is 72/min, and respirations are 16/min with an oxygen saturation of 98% on room air. The patient is currently asymptomatic while sitting in the office, and physical examination is unremarkable. Labs are drawn, as shown below:

Hemoglobin: 20 g/dL
Hematocrit: 60%
Leukocyte count: 10,050 cells/mm^3 with normal differential
Platelet count: 350,000/mm^3

Which of the following underlies the patient’s most likely diagnosis?",Myeloproliferative neoplasm,Medication side effect,Viral infection,Toxic exposure,Toxic exposure,Neurology,MedQA_USMLE,case_2001
2003,"A 23-year-old man presents to his pediatrician for a wellness checkup. He has no complaints and states that he was recently hired as a construction worker. The patient has a past medical history of asthma and antisocial personality disorder. He is not currently taking any medications. He admits to smoking 1 pack of cigarettes per day. His temperature is 98.8°F (37.1°C), blood pressure is 127/78 mmHg, pulse is 70/min, respirations are 16/min, and oxygen saturation is 98% on room air. Physical exam is notable for the findings in Figure A. Which of the following is the diagnostic finding for this patient's most likely diagnosis?",Biopsy demonstrating perifollicular and perivascular inflammation and parakeratosis,Biopsy demonstrating melanocyte destruction,KOH prep demonstrating mycelium strands and numerous spores,Physical exam and a finding of an annular lesion with scaling and a raised border,KOH prep demonstrating mycelium strands and numerous spores,Pediatrics and Neonatology,MedQA_USMLE,case_2003
2004,"A 43-year-old woman presents to the clinic complaining of “spotting.” She states that over the past 5 months she has had intermenstrual bleeding. Additionally, her menses last more than a week with the first 4 days consisting of heavy bleeding. She denies abdominal pain but reports feeling an increasing “pressure-like"" discomfort. She denies dysuria, dyspareunia, or dyschezia. Prior to 5 months ago, her menstrual periods were only 4 days long and consisted of moderate bleeding. Her periods normally occur every 28 days. She is frustrated because she feels like she needs to wear a pad all the time. The patient delivered 3 healthy children vaginally without complications, followed by a tubal ligation. Her last menstrual period was 1 week ago. She is sexually active with her husband and denies a history of sexually transmitted diseases. She has never had an abnormal pap smear. Her last pap smear and test for human papillomavirus was 4 years ago. The patient has hypothyroidism treated with levothyroxine. On physical examination, the thyroid is normal in size without masses or tenderness. Pelvic examination reveals a firm, mobile, enlarged, irregularly-shaped uterus without adnexal tenderness. Speculum exam is unremarkable. Which of the following is the most likely diagnosis?",Cervical cancer,Adenomyosis,Endometriosis,Leiomyoma,Leiomyoma,Obstetrics and Gynecology,MedQA_USMLE,case_2004
2005,"A 55-year-old African American man presents to his primary care physician for a general check-up. The patient states that he feels well aside from the occasional headache. He also reports trouble maintaining an erection with his new girlfriend. The patient has a past medical history of diabetes, hypertension, and vascular claudication. His temperature is 99.1°F (37.3°C), blood pressure is 187/108 mmHg, pulse is 90/min, respirations are 15/min, and oxygen saturation is 99% on room air. Physical exam is notable for narrowing of the patient's visual field. The rest of his neurological exam is within normal limits. Ophthalmoscope exam reveals the finding in Figure A. Which of the following is the most likely diagnosis?",Open-angle glaucoma,Normal age related changes,Closed-angle glaucoma,Migraine headache with aura,Open-angle glaucoma,Cardiovascular System,MedQA_USMLE,case_2005
2006,"A 30-year-old woman presents to the emergency room for evaluation of a swollen, painful knee. She says the pain began approximately 2 months ago, has progressively worsened, and rest, ibuprofen, and aspirin have brought no relief. She denies any trauma to the site. BMI is 23 kg/m^2 and she is not very physically active. On exam, you note mild edema and decreased range of motion. Lab values, including serum electrolytes and parathyroid hormone levels, are within normal limits. Radiograph of the knee is shown below (Figure A). Which of the following is the most likely diagnosis?",Osteitis fibrosa cystica,Osteoid osteoma,Osteoarthritis,Giant cell tumor of bone,Giant cell tumor of bone,Rheumatology,MedQA_USMLE,case_2006
2007,"A 55-year-old man presents to the emergency department with fatigue and a change in his memory. The patient and his wife state that over the past several weeks the patient has been more confused and irritable and has had trouble focusing. He has had generalized and non-specific pain in his muscles and joints and is constipated. His temperature is 99.3°F (37.4°C), blood pressure is 172/99 mmHg, pulse is 79/min, respirations are 14/min, and oxygen saturation is 99% on room air. Physical exam is unremarkable. Laboratory studies are ordered as seen below.

Hemoglobin: 9.0 g/dL
Hematocrit: 30%
Leukocyte count: 6,500/mm^3 with normal differential
Platelet count: 166,000/mm^3
MCV: 78 fL

Serum:
Na+: 141 mEq/L
Cl-: 103 mEq/L
K+: 4.6 mEq/L
HCO3-: 25 mEq/L
BUN: 20 mg/dL
Glucose: 99 mg/dL
Creatinine: 0.9 mg/dL
Ca2+: 10.2 mg/dL

Which of the following is the most likely diagnosis?",Heavy metal exposure,Vitamin B12 deficiency,Iron deficiency,Guillain-Barre syndrome,Heavy metal exposure,Hematology and Oncology,MedQA_USMLE,case_2007
2008,"A 55-year-old man presents to the emergency department for abdominal pain. The patient states that he has had abdominal pain for a while, but it became unbearable today and he is concerned. He also endorses a weight loss of 20 pounds this past month and complains of bulky and foul-smelling stools. The patient is homeless and is currently living by a local wash where he obtains his drinking water and cleans his clothes. He admits to recently eating raw meat that he found. The patient has a past medical history of alcohol abuse, malnutrition, Wernicke-Korsakoff psychosis, IV drug use, and a recent hospitalization for intoxication of unknown etiology. The patient is not taking any medications currently. His temperature is 99.1°F (37.3°C), blood pressure is 100/67 mmHg, pulse is 120/min, respirations are 11/min, and oxygen saturation is 98% on room air. On physical exam, the patient complains of epigastric tenderness. Cardiopulmonary exam is within normal limits. The patient is started on IV fluids, thiamine, folate, magnesium, and dextrose. Laboratory values are ordered as seen below:

Hemoglobin: 9.0 g/dL
Hematocrit: 25%
Leukocyte count: 5,500 cells/mm^3 with normal differential
Platelet count: 222,000/mm^3

Serum:
Na+: 137 mEq/L
Cl-: 102 mEq/L
K+: 4.1 mEq/L
HCO3-: 24 mEq/L
BUN: 24 mg/dL
Glucose: 68 mg/dL
Creatinine: 1.4 mg/dL
Ca2+: 9.8 mg/dL
Amylase: 22 U/L
Lipase: 22 U/L
Aspartate aminotransferase (AST): 58 U/L
Alanine aminotransferase (ALT): 18 U/L

A computed tomography (CT) scan is obtained as seen in Figure A. What is the most likely diagnosis?",Acute pancreatitis,Chronic pancreatitis,Camplylobacter jejuni,Giardia lamblia,Chronic pancreatitis,Gastrointestinal System,MedQA_USMLE,case_2008
2009,"A 38-year-old homeless man presents to the emergency department for a rash. He states he has noticed the rash for the past several weeks and that it has not been improving. The patient has no history of medical care and no previous diagnoses. Review of systems is positive for a persistent dry cough and recent weight loss. His temperature is 100°F (37.8°C), blood pressure is 107/68 mmHg, pulse is 110/min, respirations are 16/min, and oxygen saturation is 98% on room air. Physical exam is notable for the finding in Figure A. Which of the following is the most likely diagnosis?",Condyloma lata,Bacillary angiomatosis,Condyloma acuminata,Human herpes virus 8,Human herpes virus 8,Infectious Diseases,MedQA_USMLE,case_2009
2011,"A 33-year-old man presents to the emergency department after a head on motor vehicle collision. The patient is currently not responding to questions and is subsequently intubated. An initial FAST exam is negative. His temperature is 97.5°F (36.4°C), blood pressure is 62/42 mmHg, and pulse is 185/min. A massive transfusion protocol is initiated. The patient’s vitals improve to a pulse of 100/min and a blood pressure of 92/62. A chest radiograph is performed as seen in Figure A. After the chest radiograph has been performed, the patient’s vitals are 60/45 mmHg with a pulse of 178/min. Which of the following is the most likely diagnosis?",Aortic dissection,Cardiac tamponade,Aortic transection,Pelvic fracture,Aortic transection,Other,MedQA_USMLE,case_2011
2012,"A 27-year-old man presents to his primary care physician for a skin rash that has recently developed and is very itchy. The patient has a past medical history of asthma, seasonal allergies, constipation, anxiety, and depression. His current medications include albuterol, fluticasone, diphenhydramine, fluoxetine, metformin, and clonazepam. His temperature is 99.5°F (37.5°C), blood pressure is 139/67 mmHg, pulse is 80/min, respirations are 13/min, and oxygen saturation is 98% on room air. Pulmonary exam is notable for mild wheezes and good air movement. Cardiac exam reveals a normal rate and rhythm. Dermatologic exam reveals the findings seen in Figure A. Which of the following best describes the most likely diagnosis?",Anti-hemidesmosome antibodies,Intercellular edema in the epidermis,Sexually transmitted dermatologic infection,Acanthosis with parakeratotic scaling,Intercellular edema in the epidermis,Dermatology,MedQA_USMLE,case_2012
2013,"A 17-year-old girl is brought to her pediatrician by her mother for a wellness checkup. The patient states she is doing well in school and has no concerns. She has a past medical history of anxiety and is currently taking clonazepam as needed. Her family history is remarkable for hypertension in her mother and father and renal disease in her grandparents and aunt. Her temperature is 98.6°F (37.0°C), blood pressure is 97/68 mmHg, pulse is 90/min, respirations are 9/min, and oxygen saturation is 99% on room air. The patient's BMI is 23 kg/m^2. Cardiac, pulmonary, and neurological exams are within normal limits. Laboratory values are ordered as seen below.

Hemoglobin: 10 g/dL
Hematocrit: 29%
Leukocyte count: 6,500/mm^3 with normal differential
Platelet count: 190,000/mm^3

Serum:
Na+: 137 mEq/L
Cl-: 97 mEq/L
K+: 3.5 mEq/L
HCO3-: 29 mEq/L
BUN: 20 mg/dL
Glucose: 67 mg/dL
Creatinine: 1.1 mg/dL
Ca2+: 10.2 mg/dL

Urine:
pH: 4.5
Color: yellow
Glucose: none
Chloride: 4 mEq/L
Sodium: 11 mEq/L

Which of the following is the most likely diagnosis?",Anorexia nervosa,Bulimia nervosa,Gitelman syndrome,Bartter syndrome,Bulimia nervosa,Hematology and Oncology,MedQA_USMLE,case_2013
2014,"A 15-year-old male presents to his primary care doctor for ""eye pain."" He states that he has noticed his left eye hurting more over the past four days. He normally wears disposable contact lenses daily but could not wear them because of the heightened sensation of something foreign in his eye. He has noticed occasional sensitivity to light. He denies any headaches, changes in vision, or pain with eye movement. He further denies any frank ocular or oral discharge but feels like something might pop if he squeezes hard enough. An image of his left eye is seen in Figure A. The right eye is completely healthy appearing. What is the most likely diagnosis?",Hordeolum,Chalazion,Preseptal cellulitis,Dacryocystitis,Hordeolum,Other,MedQA_USMLE,case_2014
2015,"A 43-year-old man is asked to be seen in the hospital for a worsening rash. He was admitted to the hospital 3 days ago after a fall. His blood alcohol level at the time was 0.16%. Two days ago he noticed a rash forming on his legs. Since then, the rash has worsened. He denies pain or bleeding but endorses mild pruritis. His medical history is significant for alcohol abuse, intravenous drug use, and hepatitis C. He does not take any medications. The patient’s temperature is 99°F (37.2°C), blood pressure is 130/74 mmHg, pulse is 90/min, and respirations are 16/min. On physical examination, there is an abrasion on his right elbow and his right hip. There is no drainage or fluctuance. He has 1+ pitting edema of his bilateral lower extremities. The patient’s right leg is shown in Figure A, which is nearly identical to the left leg. There are also a few scattered violaceous papules on his buttocks. The appearance of the rash does not change with palpation. A skin biopsy is obtained, which reveals neutrophils perivascularly and within the vessel walls along with edema and fibrinoid necrosis. Immunofluorescence shows deposition of fibrinogen, C3, IgG, and IgM within the vessel walls. Which of the following is the most likely diagnosis?",Sweet syndrome,Cellulitis,Venous stasis,Leukocytoclastic vasculitis,Leukocytoclastic vasculitis,Dermatology,MedQA_USMLE,case_2015
2016,"A 33-year-old man presents to the emergency department with dizziness. He states he has experienced a sustained sense of disequilibrium for the past 2 days. He feels that the floor is unstable/moving. The patient is otherwise healthy and does not have any other medical diagnoses. The patient is currently taking vitamin C as multiple family members are currently ill and he does not want to get sick. His temperature is 98.1°F (36.7°C), blood pressure is 120/83 mmHg, pulse is 73/min, respirations are 16/min, and oxygen saturation is 98% on room air. Physical exam is notable for a horizontal nystagmus. The Dix-Hallpike maneuver does not provoke symptoms and examination of the patient’s cranial nerves is unremarkable. Which of the following is the most likely diagnosis?",Labyrinthitis,Vertebrobasilar stroke,Vestibular neuritis,Meniere disease,Vestibular neuritis,Neurology,MedQA_USMLE,case_2016
2017,"A 32-year-old man presents to the emergency department with fever, nausea, and vomiting. The patient states that his symptoms started last night and have persisted to this morning. He has a past medical history of asthma, and his current medications include albuterol and fluticasone. His temperature is 102°F (38.9°C), blood pressure is 110/60 mmHg, pulse is 95/min, respirations are 17/min, and oxygen saturation is 98% on room air. On physical exam, the patient seems uncomfortable. He requests that the lights in the room stay turned off during the physical exam. The patient's cardiac exam demonstrates a normal rate and rhythm, and his pulmonary exam is clear to auscultation bilaterally. Musculoskeletal exam reveals diminished mobility of the neck in all four directions, with flexion of the neck causing the patient discomfort. Lumbar puncture is performed and results are seen below.

Cerebrospinal fluid (CSF):
Cell count: 175/mm^3
Cl-: 119 mEq/L
Glucose: 49 mg/dL
Pressure: 150 mmH2O
Total protein: 55 mg/dL

Which of the following is the best treatment for this patient's most likely diagnosis?",IV fluids and monitoring,Acyclovir,Amphotericin and 5-flucytosine,Ceftriaxone and vancomycin,IV fluids and monitoring,Infectious Diseases,MedQA_USMLE,case_2017
2018,"A 55-year-old woman presents to the emergency department with retrosternal pain that started this evening. The patient states that her symptoms started as she was going to bed after taking her medications. She describes the pain as sudden in onset, worse with swallowing, and not associated with exertion. The patient has a past medical history of diabetes, anemia, and congestive heart failure and is currently taking metoprolol, insulin, metformin, iron, and lisinopril. Her temperature is 99.2°F (37.3°C), blood pressure is 125/63 mmHg, pulse is 90/min, respirations are 14/min, and oxygen saturation is 100% on room air. Physical exam is notable for an obese woman who appears uncomfortable. An initial electrocardiogram (ECG) demonstrates sinus rhythm, and a set of troponins are pending. Which of the following is the most likely diagnosis?",Esophagitis,Myocardial infarction,Spontaneous pneumothorax,Esophageal rupture,Esophagitis,Gastrointestinal System,MedQA_USMLE,case_2018
2019,"A 25-year-old woman presents to her primary care physician with a chief complaint of joint and muscle pain. She states that she has a general aching/pain in her joints that lasts all day. She states that the pain is constant and is not relieved by rest or activity. In addition, the patient complains of pain in her hands at times. Finally, she occasionally notices trouble swallowing when she is eating. The patient has a past medical history of anxiety and is not currently taking any medications. On physical exam you note a healthy young women with a sunburn. Her hands are mildly edematous, and you note the findings in Figure A. Laboratory values are ordered and are below:

Serum:
Na+: 145 mEq/L
K+: 4.4 mEq/L
Cl-: 100 mEq/L
HCO3-: 24 mEq/L
BUN: 9 mg/dL
Glucose: 70 mg/dL
Creatinine: .7 mg/dL
Ca2+: 10 mg/dL
Mg2+: 1.8 mEq/L

Which of the following antibodies is most likely to aid in making the diagnosis in this patient?",Anti-Ro,Anti-dsDNA,Anti-ribonuleoprotein,Anti-nuclear antibody,Anti-ribonuleoprotein,Rheumatology,MedQA_USMLE,case_2019
2020,"A 27-year-old woman presents with acute abdominal pain in her right upper quadrant. The pain came on suddenly while she was eating dinner. After this pain she began feeling dizzy and came to the emergency department. In the ED, her blood pressure is 75/40 mmHg, pulse is 100/minute, and she is afebrile. On physical exam, she feels too light-headed to ambulate. She demonstrates normal bowel sounds with tenderness upon palpation in the right upper quadrant. The patient is deemed too unstable for imaging. An abdominal radiograph and CT are reviewed from a recent previous visit to the ED for mild abdominal pain, and are shown in Figures A and B, respectively. Which of the following specific additional findings in her history supports the most likely diagnosis?",A 15 pack/year history of smoking,A history of Epstein-Barr virus and participation in rugby,Symptoms that began after a fatty meal,Use of oral contraceptives (OCPs) for birth control,Use of oral contraceptives (OCPs) for birth control,Gastrointestinal System,MedQA_USMLE,case_2020
2021,"A 9-year-old girl is brought to the pediatrician for a wellness checkup. The girl's past medical history is non-contributory, and she has met all her developmental milestones. Her parents were recently called into the office as the girl was found touching the genitals of one of her classmates. She was trying to insert a toy into her classmate's genitals. The girl is asked what has happened and what she thinks is going on but she is too shy to reply to the physician. The girl and her mother recently moved in with a family member. They live in low-income housing subsidized by the government and are currently on food stamps. The mother states that her daughter has been particularly argumentative lately and that they have gotten into arguments in which her daughter screamed at her and locked herself in the bathroom. Which of the following is the most likely diagnosis?",Adjustment disorder,Normal variant of development,Attention deficit hyperactivity disorder,Sexual abuse,Sexual abuse,Pediatrics and Neonatology,MedQA_USMLE,case_2021
2022,"A 7-year-old boy is brought to his pediatrician by his mother who is worried about his clumsiness. She states that over the past 3 months she has noticed progressive weakness. He used to climb trees and run outside with his cousins, but now he says he gets “too tired.” She’s recently noticed him starting to “walk funny,” despite having “muscular legs.” Upon physical examination, the patient has calf muscle hypertrophy. He uses his arms to rise out of the chair. Labs are obtained that show an elevated creatine kinase. Genetic analysis detects a dystropin gene mutation. A muscle biopsy is performed that reveals reduced dystrophin. Which of the following is the most likely diagnosis?",Pompe disease,Spinal muscular atrophy,Duchenne muscular dystrophy,Becker muscular dystrophy,Becker muscular dystrophy,Neurology,MedQA_USMLE,case_2022
2023,"A 1-month-old girl presents to her pediatrician with her mother. The patient was born at 38 weeks gestation via Caesarian section for cervical incompetence. The patient’s mother has no complaints, although she notes that the child had a runny nose and cough for a few days last week. The patient’s mother endorses decreased appetite during the aforementioned illness which has now returned to baseline. The patient’s family history is significant for an older brother with glucose-6-phosphate dehydrogenase (G6PD) deficiency and a maternal uncle with cirrhosis secondary to chronic hepatitis B. On physical exam, the patient has scleral icterus and dark urine staining her diaper. Laboratory testing reveals the following:

Serum:
Na+: 137 mEq/L
Cl-: 102 mEq/L
K+: 4.2 mEq/L
HCO3-: 24 mEq/L
Urea nitrogen: 12 mg/dL
Glucose: 96 mg/dL
Creatinine: 0.36 mg/dL
Alkaline phosphatase: 146 U/L
Aspartate aminotransferase (AST): 86 U/L
Alanine aminotransferase (ALT): 76 U/L
Total bilirubin: 4.6 mg/dL
Direct bilirubin: 3.8 mg/dL

Which of the following is the most likely diagnosis?",Increased production of bilirubin,Decreased metabolism of bilirubin,Obstruction of the extrahepatic biliary tree,Increased enterohepatic circulation of bilirubin,Obstruction of the extrahepatic biliary tree,Pediatrics and Neonatology,MedQA_USMLE,case_2023
2024,"A 48-year-old nurse presents with left-sided chest pain and nonproductive cough. He thinks both the chest pain and the cough began about two months ago. He recently joined a meditation group and found that the deep breathing exercises exacerbate his chest pain. The patient denies headaches, fever, or chills. He reports a 3 lb weight loss over the last two weeks, which he attributes to a change in his diet that he and his wife recently started. The patient drinks a glass or two of whiskey on the weekends and is a non-smoker. The patient’s medical history is significant for type II diabetes and Hodgkin lymphoma. He was treated with chemotherapy and radiation 25 years ago without complications. His current medications include metformin and glyburide. His HbA1c is 7.5%. His temperature is 99°F (37.2°C), blood pressure is 121/82 mmHg, pulse is 86/min, respirations are 12/min, and oxygen saturation is 95% on room air. Physical exam is notable for coarse rhonchi in the left lung. There is no appreciable lymphadenopathy. A chest radiograph is performed, which is shown in Figure A. Which of the following is the most likely diagnosis for this patient?",Tuberculosis,Secondary lung cancer,Aspergilloma,Radiation-induced pulmonary fibrosis,Secondary lung cancer,Hematology and Oncology,MedQA_USMLE,case_2024
